Participant,Condition,Congruency,Alignment,answer,resp,isCorrect,RT
Subj01,CFS,incongruent,misaligned,different,0,1,541
Subj01,CFS,congruent,misaligned,different,0,1,311
Subj01,CFS,incongruent,misaligned,different,0,1,486
Subj01,CFS,congruent,aligned,different,0,1,396
Subj01,CFS,incongruent,misaligned,different,1,0,371
Subj01,CFS,incongruent,misaligned,different,0,1,336
Subj01,CFS,incongruent,misaligned,different,0,1,346
Subj01,CFS,incongruent,aligned,different,1,0,386
Subj01,CFS,incongruent,aligned,different,0,1,326
Subj01,CFS,incongruent,misaligned,different,1,0,371
Subj01,CFS,incongruent,aligned,different,0,1,685
Subj01,CFS,incongruent,aligned,same,1,1,291
Subj01,CFS,congruent,aligned,same,1,1,356
Subj01,CFS,congruent,aligned,different,0,1,246
Subj01,CFS,incongruent,aligned,different,0,1,386
Subj01,CFS,congruent,misaligned,same,1,1,206
Subj01,CFS,incongruent,aligned,same,1,1,336
Subj01,CFS,incongruent,misaligned,different,0,1,225
Subj01,CFS,congruent,misaligned,same,1,1,231
Subj01,CFS,congruent,aligned,different,1,0,626
Subj01,CFS,congruent,aligned,same,1,1,346
Subj01,CFS,incongruent,aligned,same,1,1,201
Subj01,CFS,congruent,misaligned,different,0,1,266
Subj01,CFS,congruent,aligned,different,0,1,676
Subj01,CFS,congruent,aligned,different,0,1,335
Subj01,CFS,incongruent,misaligned,same,1,1,296
Subj01,CFS,incongruent,misaligned,same,1,1,201
Subj01,CFS,congruent,misaligned,same,1,1,201
Subj01,CFS,congruent,aligned,same,1,1,331
Subj01,CFS,incongruent,misaligned,same,1,1,241
Subj01,CFS,incongruent,aligned,different,1,0,375
Subj01,CFS,incongruent,misaligned,different,0,1,336
Subj01,CFS,congruent,misaligned,same,1,1,241
Subj01,CFS,incongruent,misaligned,same,1,1,356
Subj01,CFS,congruent,misaligned,different,0,1,321
Subj01,CFS,congruent,misaligned,different,0,1,331
Subj01,CFS,congruent,misaligned,same,1,1,276
Subj01,CFS,incongruent,aligned,same,1,1,201
Subj01,CFS,congruent,misaligned,different,0,1,266
Subj01,CFS,incongruent,misaligned,different,0,1,296
Subj01,CFS,congruent,misaligned,same,1,1,276
Subj01,CFS,congruent,aligned,same,0,0,321
Subj01,CFS,congruent,aligned,different,0,1,466
Subj01,CFS,incongruent,misaligned,same,1,1,216
Subj01,CFS,congruent,aligned,same,1,1,261
Subj01,CFS,incongruent,aligned,different,0,1,345
Subj01,CFS,congruent,misaligned,same,1,1,371
Subj01,CFS,incongruent,aligned,different,0,1,306
Subj01,CFS,congruent,aligned,different,0,1,326
Subj01,CFS,congruent,misaligned,different,0,1,286
Subj01,CFS,congruent,misaligned,same,1,1,201
Subj01,CFS,incongruent,aligned,different,0,1,231
Subj01,CFS,congruent,misaligned,same,1,1,341
Subj01,CFS,incongruent,misaligned,same,1,1,245
Subj01,CFS,incongruent,aligned,same,1,1,346
Subj01,CFS,incongruent,aligned,different,0,1,346
Subj01,CFS,congruent,misaligned,different,0,1,366
Subj01,CFS,congruent,aligned,same,1,1,356
Subj01,CFS,incongruent,misaligned,same,1,1,216
Subj01,CFS,incongruent,misaligned,same,1,1,236
Subj01,CFS,incongruent,aligned,same,1,1,346
Subj01,CFS,congruent,aligned,same,1,1,216
Subj01,CFS,incongruent,misaligned,different,0,1,266
Subj01,CFS,congruent,misaligned,same,1,1,411
Subj01,CFS,congruent,aligned,same,1,1,601
Subj01,CFS,incongruent,misaligned,different,0,1,275
Subj01,CFS,congruent,misaligned,same,1,1,571
Subj01,CFS,incongruent,aligned,same,1,1,435
Subj01,CFS,incongruent,aligned,same,0,0,1016
Subj01,CFS,congruent,aligned,different,0,1,311
Subj01,CFS,congruent,misaligned,same,1,1,456
Subj01,CFS,congruent,misaligned,same,1,1,255
Subj01,CFS,incongruent,aligned,same,1,1,301
Subj01,CFS,congruent,misaligned,different,0,1,276
Subj01,CFS,congruent,aligned,different,0,1,336
Subj01,CFS,incongruent,misaligned,same,0,0,201
Subj01,CFS,incongruent,aligned,different,0,1,431
Subj01,CFS,congruent,aligned,same,1,1,271
Subj01,CFS,congruent,misaligned,different,0,1,276
Subj01,CFS,incongruent,aligned,different,0,1,401
Subj01,CFS,incongruent,aligned,same,1,1,351
Subj01,CFS,congruent,misaligned,same,1,1,295
Subj01,CFS,congruent,aligned,different,1,0,346
Subj01,CFS,incongruent,misaligned,same,1,1,201
Subj01,CFS,incongruent,misaligned,different,0,1,251
Subj01,CFS,incongruent,misaligned,different,0,1,315
Subj01,CFS,congruent,misaligned,same,1,1,271
Subj01,CFS,incongruent,aligned,different,0,1,301
Subj01,CFS,congruent,misaligned,different,0,1,391
Subj01,CFS,congruent,aligned,different,1,0,366
Subj01,CFS,congruent,misaligned,different,1,0,381
Subj01,CFS,incongruent,aligned,same,1,1,271
Subj01,CFS,congruent,aligned,different,0,1,321
Subj01,CFS,congruent,aligned,different,0,1,461
Subj01,CFS,incongruent,aligned,same,1,1,391
Subj01,CFS,incongruent,aligned,same,1,1,201
Subj01,CFS,incongruent,aligned,same,1,1,235
Subj01,CFS,incongruent,misaligned,different,0,1,251
Subj01,CFS,congruent,aligned,different,0,1,421
Subj01,CFS,congruent,aligned,different,0,1,326
Subj01,CFS,incongruent,aligned,same,1,1,286
Subj01,CFS,congruent,misaligned,same,1,1,251
Subj01,CFS,incongruent,misaligned,different,0,1,441
Subj01,CFS,congruent,aligned,different,1,0,486
Subj01,CFS,congruent,aligned,same,1,1,311
Subj01,CFS,incongruent,misaligned,same,1,1,216
Subj01,CFS,incongruent,misaligned,different,1,0,265
Subj01,CFS,congruent,aligned,different,0,1,386
Subj01,CFS,incongruent,aligned,same,1,1,296
Subj01,CFS,congruent,misaligned,same,1,1,201
Subj01,CFS,congruent,aligned,different,0,1,266
Subj01,CFS,congruent,aligned,same,0,0,361
Subj01,CFS,incongruent,aligned,different,0,1,361
Subj01,CFS,incongruent,aligned,same,1,1,305
Subj01,CFS,congruent,aligned,different,0,1,355
Subj01,CFS,incongruent,aligned,same,1,1,316
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,incongruent,aligned,same,1,1,231
Subj01,CFS,congruent,misaligned,different,0,1,321
Subj01,CFS,congruent,misaligned,same,1,1,231
Subj01,CFS,congruent,aligned,different,0,1,306
Subj01,CFS,incongruent,misaligned,different,0,1,351
Subj01,CFS,incongruent,misaligned,same,1,1,301
Subj01,CFS,incongruent,aligned,different,0,1,361
Subj01,CFS,congruent,aligned,different,0,1,506
Subj01,CFS,incongruent,misaligned,different,0,1,306
Subj01,CFS,incongruent,aligned,different,0,1,316
Subj01,CFS,congruent,misaligned,different,0,1,361
Subj01,CFS,incongruent,aligned,same,1,1,361
Subj01,CFS,congruent,misaligned,same,0,0,571
Subj01,CFS,incongruent,misaligned,same,1,1,336
Subj01,CFS,incongruent,misaligned,same,1,1,371
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,congruent,misaligned,different,0,1,306
Subj01,CFS,congruent,misaligned,different,0,1,426
Subj01,CFS,congruent,misaligned,same,1,1,296
Subj01,CFS,incongruent,misaligned,different,1,0,426
Subj01,CFS,incongruent,misaligned,same,1,1,351
Subj01,CFS,congruent,aligned,same,1,1,271
Subj01,CFS,incongruent,misaligned,same,1,1,245
Subj01,CFS,congruent,aligned,same,1,1,306
Subj01,CFS,incongruent,aligned,same,1,1,316
Subj01,CFS,incongruent,misaligned,same,1,1,230
Subj01,CFS,congruent,aligned,different,0,1,276
Subj01,CFS,incongruent,misaligned,same,1,1,401
Subj01,CFS,congruent,misaligned,same,1,1,321
Subj01,CFS,incongruent,misaligned,same,1,1,241
Subj01,CFS,congruent,aligned,same,1,1,456
Subj01,CFS,congruent,aligned,different,0,1,451
Subj01,CFS,incongruent,aligned,same,1,1,471
Subj01,CFS,congruent,misaligned,same,1,1,411
Subj01,CFS,incongruent,aligned,different,0,1,401
Subj01,CFS,incongruent,aligned,same,1,1,296
Subj01,CFS,incongruent,misaligned,same,1,1,201
Subj01,CFS,congruent,misaligned,different,0,1,481
Subj01,CFS,incongruent,aligned,different,0,1,275
Subj01,CFS,congruent,aligned,same,1,1,241
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,congruent,misaligned,same,1,1,281
Subj01,CFS,congruent,misaligned,different,0,1,336
Subj01,CFS,incongruent,misaligned,different,1,0,321
Subj01,CFS,congruent,misaligned,same,1,1,201
Subj01,CFS,congruent,misaligned,same,1,1,201
Subj01,CFS,incongruent,misaligned,different,0,1,341
Subj01,CFS,incongruent,misaligned,same,1,1,296
Subj01,CFS,congruent,misaligned,different,0,1,275
Subj01,CFS,congruent,aligned,different,0,1,301
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,congruent,misaligned,different,0,1,266
Subj01,CFS,incongruent,aligned,same,1,1,316
Subj01,CFS,congruent,aligned,same,1,1,230
Subj01,CFS,incongruent,misaligned,same,1,1,206
Subj01,CFS,incongruent,misaligned,different,0,1,261
Subj01,CFS,congruent,misaligned,different,0,1,286
Subj01,CFS,congruent,misaligned,same,1,1,236
Subj01,CFS,incongruent,misaligned,different,0,1,246
Subj01,CFS,congruent,aligned,same,1,1,291
Subj01,CFS,congruent,misaligned,different,0,1,426
Subj01,CFS,congruent,aligned,different,0,1,285
Subj01,CFS,congruent,misaligned,same,1,1,281
Subj01,CFS,incongruent,aligned,same,1,1,211
Subj01,CFS,incongruent,misaligned,same,1,1,221
Subj01,CFS,congruent,aligned,same,1,1,215
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,congruent,misaligned,same,1,1,286
Subj01,CFS,incongruent,aligned,same,1,1,271
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,congruent,aligned,different,0,1,316
Subj01,monocular,congruent,aligned,same,1,1,620
Subj01,monocular,incongruent,misaligned,different,1,0,421
Subj01,monocular,congruent,misaligned,same,1,1,276
Subj01,monocular,congruent,aligned,same,1,1,281
Subj01,monocular,congruent,aligned,different,0,1,381
Subj01,monocular,congruent,misaligned,same,1,1,446
Subj01,monocular,congruent,aligned,same,1,1,256
Subj01,monocular,incongruent,aligned,different,0,1,370
Subj01,monocular,congruent,aligned,same,1,1,351
Subj01,monocular,incongruent,aligned,same,1,1,285
Subj01,monocular,congruent,aligned,same,1,1,281
Subj01,monocular,congruent,aligned,different,0,1,406
Subj01,monocular,congruent,misaligned,same,1,1,281
Subj01,monocular,incongruent,misaligned,different,0,1,390
Subj01,monocular,congruent,misaligned,different,0,1,406
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,different,0,1,296
Subj01,monocular,congruent,aligned,same,1,1,371
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,incongruent,aligned,same,1,1,500
Subj01,monocular,congruent,aligned,different,0,1,441
Subj01,monocular,congruent,aligned,same,1,1,395
Subj01,monocular,incongruent,aligned,different,1,0,306
Subj01,monocular,congruent,aligned,different,0,1,335
Subj01,monocular,congruent,aligned,different,0,1,326
Subj01,monocular,incongruent,misaligned,different,1,0,351
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,different,0,1,286
Subj01,monocular,congruent,aligned,different,0,1,406
Subj01,monocular,congruent,misaligned,same,1,1,317
Subj01,monocular,incongruent,aligned,same,1,1,371
Subj01,monocular,incongruent,aligned,different,0,1,326
Subj01,monocular,congruent,aligned,different,0,1,456
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,same,1,1,206
Subj01,monocular,incongruent,aligned,different,0,1,316
Subj01,monocular,incongruent,aligned,different,0,1,381
Subj01,monocular,incongruent,aligned,different,0,1,296
Subj01,monocular,incongruent,aligned,different,0,1,213
Subj01,monocular,incongruent,misaligned,different,0,1,326
Subj01,monocular,congruent,misaligned,different,0,1,646
Subj01,monocular,congruent,misaligned,different,0,1,326
Subj01,monocular,incongruent,misaligned,same,1,1,206
Subj01,monocular,incongruent,aligned,different,1,0,226
Subj01,monocular,congruent,aligned,different,0,1,236
Subj01,monocular,congruent,misaligned,different,0,1,326
Subj01,monocular,incongruent,aligned,different,0,1,351
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,same,1,1,216
Subj01,monocular,incongruent,aligned,different,1,0,326
Subj01,monocular,incongruent,aligned,different,0,1,286
Subj01,monocular,congruent,aligned,different,1,0,396
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,aligned,same,1,1,211
Subj01,monocular,congruent,misaligned,same,0,0,201
Subj01,monocular,congruent,misaligned,same,1,1,206
Subj01,monocular,congruent,misaligned,different,0,1,251
Subj01,monocular,congruent,misaligned,different,0,1,255
Subj01,monocular,congruent,aligned,same,1,1,231
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,different,0,1,200
Subj01,monocular,incongruent,aligned,same,1,1,261
Subj01,monocular,incongruent,misaligned,different,0,1,356
Subj01,monocular,congruent,misaligned,same,1,1,246
Subj01,monocular,incongruent,aligned,same,1,1,360
Subj01,monocular,incongruent,aligned,same,1,1,266
Subj01,monocular,incongruent,misaligned,same,1,1,206
Subj01,monocular,congruent,aligned,same,1,1,301
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,261
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,congruent,aligned,different,0,1,351
Subj01,monocular,incongruent,misaligned,same,1,1,430
Subj01,monocular,congruent,aligned,different,0,1,256
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,706
Subj01,monocular,incongruent,aligned,different,0,1,296
Subj01,monocular,congruent,misaligned,same,1,1,211
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,different,0,1,411
Subj01,monocular,incongruent,aligned,different,0,1,226
Subj01,monocular,congruent,aligned,different,0,1,271
Subj01,monocular,congruent,aligned,different,0,1,276
Subj01,monocular,congruent,aligned,same,1,1,271
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,congruent,aligned,different,0,1,206
Subj01,monocular,congruent,misaligned,same,1,1,271
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,different,0,1,256
Subj01,monocular,incongruent,misaligned,same,1,1,355
Subj01,monocular,congruent,aligned,different,0,1,336
Subj01,monocular,congruent,misaligned,same,1,1,301
Subj01,monocular,congruent,aligned,different,0,1,251
Subj01,monocular,congruent,aligned,same,1,1,215
Subj01,monocular,congruent,misaligned,same,1,1,291
Subj01,monocular,congruent,misaligned,different,0,1,216
Subj01,monocular,incongruent,aligned,same,1,1,221
Subj01,monocular,incongruent,misaligned,different,0,1,381
Subj01,monocular,incongruent,misaligned,different,0,1,306
Subj01,monocular,congruent,aligned,same,1,1,211
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,201
Subj01,monocular,congruent,misaligned,different,0,1,446
Subj01,monocular,incongruent,aligned,same,1,1,246
Subj01,monocular,congruent,misaligned,different,0,1,321
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,different,0,1,361
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,same,1,1,216
Subj01,monocular,congruent,aligned,different,0,1,266
Subj01,monocular,incongruent,misaligned,different,0,1,476
Subj01,monocular,incongruent,misaligned,same,1,1,226
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,356
Subj01,monocular,congruent,misaligned,different,0,1,231
Subj01,monocular,congruent,misaligned,different,0,1,235
Subj01,monocular,incongruent,aligned,different,1,0,231
Subj01,monocular,congruent,aligned,same,1,1,261
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,aligned,different,0,1,231
Subj01,monocular,congruent,misaligned,different,1,0,201
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,same,1,1,241
Subj01,monocular,incongruent,misaligned,different,0,1,286
Subj01,monocular,congruent,aligned,same,1,1,241
Subj01,monocular,congruent,aligned,different,0,1,241
Subj01,monocular,incongruent,aligned,different,1,0,201
Subj01,monocular,congruent,aligned,different,0,1,356
Subj01,monocular,incongruent,aligned,same,1,1,206
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,1,0,201
Subj01,monocular,congruent,aligned,different,0,1,286
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,congruent,misaligned,different,1,0,241
Subj01,monocular,incongruent,misaligned,different,0,1,245
Subj01,monocular,incongruent,aligned,same,1,1,486
Subj01,monocular,incongruent,misaligned,different,0,1,276
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,aligned,different,0,1,376
Subj01,monocular,incongruent,aligned,different,0,1,281
Subj01,monocular,congruent,aligned,same,1,1,221
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,296
Subj01,monocular,incongruent,aligned,same,1,1,381
Subj01,monocular,congruent,misaligned,different,0,1,241
Subj01,monocular,incongruent,aligned,same,1,1,306
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,226
Subj01,monocular,incongruent,misaligned,different,0,1,296
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,295
Subj01,monocular,congruent,aligned,different,0,1,206
Subj01,monocular,congruent,misaligned,same,1,1,276
Subj01,monocular,incongruent,misaligned,same,1,1,406
Subj01,monocular,incongruent,misaligned,different,0,1,201
Subj01,monocular,incongruent,misaligned,different,0,1,351
Subj01,monocular,incongruent,misaligned,different,1,0,356
Subj01,monocular,congruent,aligned,same,1,1,286
Subj01,monocular,congruent,misaligned,same,1,1,396
Subj01,monocular,congruent,misaligned,same,1,1,450
Subj01,monocular,congruent,misaligned,different,0,1,316
Subj01,monocular,congruent,aligned,same,1,1,230
Subj01,monocular,congruent,aligned,different,0,1,341
Subj01,monocular,incongruent,aligned,different,1,0,285
Subj01,monocular,incongruent,misaligned,different,0,1,380
Subj01,monocular,incongruent,aligned,different,0,1,291
Subj01,monocular,incongruent,misaligned,different,1,0,406
Subj01,monocular,congruent,misaligned,different,0,1,225
Subj01,monocular,congruent,misaligned,same,1,1,266
Subj01,monocular,incongruent,misaligned,same,1,1,317
Subj01,monocular,congruent,misaligned,different,1,0,271
Subj01,monocular,incongruent,misaligned,different,0,1,501
Subj01,monocular,incongruent,misaligned,same,1,1,271
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,same,1,1,281
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,congruent,aligned,different,1,0,201
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,1,0,201
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,congruent,aligned,different,0,1,275
Subj01,monocular,congruent,misaligned,different,0,1,316
Subj01,monocular,congruent,aligned,same,1,1,241
Subj01,monocular,congruent,aligned,different,0,1,290
Subj01,monocular,congruent,misaligned,different,0,1,311
Subj01,monocular,incongruent,aligned,same,1,1,216
Subj01,monocular,incongruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,misaligned,same,1,1,281
Subj01,monocular,congruent,misaligned,different,0,1,255
Subj01,monocular,incongruent,aligned,same,1,1,241
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,different,0,1,201
Subj01,monocular,congruent,misaligned,different,0,1,391
Subj01,monocular,incongruent,aligned,same,1,1,205
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,congruent,aligned,same,1,1,201
Subj01,monocular,incongruent,aligned,same,1,1,201
Subj01,monocular,congruent,misaligned,different,1,0,226
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,1,0,206
Subj01,monocular,congruent,misaligned,same,1,1,201
Subj01,monocular,incongruent,aligned,different,0,1,296
Subj01,monocular,incongruent,misaligned,different,0,1,341
Subj01,monocular,incongruent,aligned,different,1,0,246
